Date,Close
2023-04-04,60.540001
2023-04-05,58.509998
2023-04-06,58.259998
2023-04-10,58.119999
2023-04-11,59.110001
2023-04-12,56.619999
2023-04-13,58.279999
2023-04-14,57.09
2023-04-17,56.099998
2023-04-18,55.73
2023-04-19,53.75
2023-04-20,53.080002
2023-04-21,52.970001
2023-04-24,53.259998
2023-04-25,51.57
2023-04-26,50.759998
2023-04-27,52.84
2023-04-28,53.66
2023-05-01,55.09
2023-05-02,53.849998
2023-05-03,53.580002
2023-05-04,52.889999
2023-05-05,55.16
2023-05-08,56.43
2023-05-09,59.66
2023-05-10,58.98
2023-05-11,56.919998
2023-05-12,57.279999
2023-05-15,57.650002
2023-05-16,55
2023-05-17,56.360001
2023-05-18,57.400002
2023-05-19,55.889999
2023-05-22,56.84
2023-05-23,54.880001
2023-05-24,55.43
2023-05-25,54.380001
2023-05-26,55.389999
2023-05-30,56
2023-05-31,55.759998
2023-06-01,56.32
2023-06-02,58.490002
2023-06-05,57.18
2023-06-06,58.119999
2023-06-07,58.790001
2023-06-08,57.970001
2023-06-09,57.349998
2023-06-12,59.43
2023-06-13,60.990002
2023-06-14,60.389999
2023-06-15,59.689999
2023-06-16,58.619999
2023-06-20,57.310001
2023-06-21,57.290001
2023-06-22,55.540001
2023-06-23,55.5
2023-06-26,54.509998
2023-06-27,55.299999
2023-06-28,54.360001
2023-06-29,55.91
2023-06-30,56.009998
2023-07-03,57.77
2023-07-05,56.220001
2023-07-06,56.16
2023-07-07,55.740002
2023-07-10,56.439999
2023-07-11,54.790001
2023-07-12,55
2023-07-13,55.650002
2023-07-14,53.259998
2023-07-17,51.66
2023-07-18,52.68
2023-07-19,52.759998
2023-07-20,52.169998
2023-07-21,52.610001
2023-07-24,53.810001
2023-07-25,53.23
2023-07-26,53.759998
2023-07-27,53.330002
2023-07-28,52.5
2023-07-31,55.369999
2023-08-01,54.970001
2023-08-02,54.110001
2023-08-03,55.099998
2023-08-04,54.34
2023-08-07,54.330002
2023-08-08,52.75
2023-08-09,51.150002
2023-08-10,51.16
2023-08-11,51.43
2023-08-14,51.18
2023-08-15,49.59
2023-08-16,48.790001
2023-08-17,48.34
2023-08-18,48.360001
2023-08-21,49.48
2023-08-22,48.400002
2023-08-23,49.869999
2023-08-24,48.490002
2023-08-25,49.869999
2023-08-28,49.310001
2023-08-29,49.209999
2023-08-30,49.110001
2023-08-31,48.700001
2023-09-01,49.43
2023-09-05,48.360001
2023-09-06,48.639999
2023-09-07,48.290001
2023-09-08,48.66
2023-09-11,47.93
2023-09-12,47.82
2023-09-13,47.5
2023-09-14,49.860001
2023-09-15,48.779999
2023-09-18,48.07
2023-09-19,47.720001
2023-09-20,47.799999
2023-09-21,47.009998
2023-09-22,47.009998
2023-09-25,45.869999
2023-09-26,44.259998
2023-09-27,44.439999
2023-09-28,45.810001
2023-09-29,46.25
2023-10-02,45.860001
2023-10-03,44.560001
2023-10-04,44.720001
2023-10-05,44.16
2023-10-06,44.419998
2023-10-09,45.009998
2023-10-10,46.130001
2023-10-11,45.799999
2023-10-12,44.09
2023-10-13,42.490002
2023-10-16,43.93
2023-10-17,45.119999
2023-10-18,44.73
2023-10-19,43.549999
2023-10-20,42.490002
2023-10-23,41.209999
2023-10-24,42.689999
2023-10-25,42.400002
2023-10-26,42.150002
2023-10-27,41.139999
2023-10-30,42.459999
2023-10-31,43.080002
2023-11-01,42.259998
2023-11-02,44.689999
2023-11-03,47.27
2023-11-06,47.200001
2023-11-07,47.189999
2023-11-08,46.43
2023-11-09,45.720001
2023-11-10,46.84
2023-11-13,46.959999
2023-11-14,49.630001
2023-11-15,49.34
2023-11-16,48.09
2023-11-17,48.799999
2023-11-20,50.099998
2023-11-21,48.740002
2023-11-22,49.419998
2023-11-24,49.919998
2023-11-27,49.330002
2023-11-28,49.259998
2023-11-29,48.959999
2023-11-30,48.900002
2023-12-01,50.759998
2023-12-04,50.540001
2023-12-05,48.849998
2023-12-06,49.669998
2023-12-07,50.290001
2023-12-08,51.84
2023-12-11,51.799999
2023-12-12,51.700001
2023-12-13,53.5
2023-12-14,54.02
2023-12-15,52.380001
2023-12-18,51.02
2023-12-19,51.459999
2023-12-20,50.290001
2023-12-21,50.740002
2023-12-22,50.759998
2023-12-26,52.75
2023-12-27,53.150002
2023-12-28,53.299999
2023-12-29,52.830002
2024-01-02,52.919998
2024-01-03,50.799999
2024-01-04,50.959999
2024-01-05,51.869999
2024-01-08,52.990002
2024-01-09,51.119999
2024-01-10,51.509998
2024-01-11,51.330002
2024-01-12,50.549999
2024-01-16,50.869999
2024-01-17,49.650002
2024-01-18,50.049999
2024-01-19,51.220001
2024-01-22,49.790001
2024-01-23,50.689999
2024-01-24,50.119999
2024-01-25,50.709999
2024-01-26,50.900002
2024-01-29,49.849998
2024-01-30,50.360001
2024-01-31,49.400002
2024-02-01,49.040001
2024-02-02,48.259998
2024-02-05,47.259998
2024-02-06,48.700001
2024-02-07,47.93
2024-02-08,48.360001
2024-02-09,49.080002
2024-02-12,50.299999
2024-02-13,48.490002
2024-02-14,47.779999
2024-02-15,47.610001
2024-02-16,47.09
2024-02-20,46.23
2024-02-21,46.130001
2024-02-22,47.009998
2024-02-23,47.009998
2024-02-26,47.549999
2024-02-27,48.810001
2024-02-28,52.970001
2024-02-29,51.349998
2024-03-01,53.450001
2024-03-04,53.57
2024-03-05,52.959999
2024-03-06,53.560001
2024-03-07,52.799999
2024-03-08,52.540001
2024-03-11,52.029999
2024-03-12,51.509998
2024-03-13,51.099998
2024-03-14,50.630001
2024-03-15,51.34
2024-03-18,52.919998
2024-03-19,53.060001
2024-03-20,54.32
2024-03-21,54.720001
2024-03-22,53.919998
2024-03-25,54.07
2024-03-26,52.369999
2024-03-27,53.32
2024-03-28,56.209999
2024-04-01,56.93
2024-04-02,55.610001
2024-04-03,56.360001
