Date,Open,High,Low,Close,Adj Close,Volume
2013-04-15,30.559999,34.669998,30.260000,33.520000,29.366220,21676800
2013-04-22,33.680000,34.119999,31.770000,32.320000,28.314924,4749000
2013-04-29,32.040001,34.000000,32.040001,33.130001,29.024551,1293400
2013-05-06,33.000000,35.939999,32.630001,35.160000,30.802992,2420100
2013-05-13,35.189999,39.029999,35.110001,38.880001,34.062008,2530500
2013-05-20,38.549999,39.650002,34.619999,37.990002,33.282303,2801600
2013-05-27,38.720001,38.779999,34.840000,35.389999,31.004488,1817600
2013-06-03,35.020000,37.779999,34.169998,37.560001,32.905579,1583100
2013-06-10,37.529999,38.080002,35.639999,37.950001,33.247257,1160000
2013-06-17,38.340000,39.060001,37.480000,37.730000,33.054516,2605300
2013-06-24,37.430000,37.700001,34.810001,35.099998,30.913561,3389000
2013-07-01,35.099998,36.730000,34.860001,35.450001,31.221817,1039000
2013-07-08,35.480000,39.000000,35.480000,38.320000,33.749504,2344200
2013-07-15,38.360001,39.189999,37.730000,38.299999,33.731888,669800
2013-07-22,38.230000,38.939999,36.790001,37.630001,33.141804,1627200
2013-07-29,37.529999,37.950001,36.150002,36.610001,32.243465,1074700
2013-08-05,36.599998,37.169998,35.169998,35.950001,31.662180,1143600
2013-08-12,35.709999,36.680000,32.830002,33.880001,29.839073,3225500
2013-08-19,33.759998,33.910000,33.000000,33.290001,29.319445,691300
2013-08-26,33.360001,33.709999,29.490000,29.930000,26.360199,4447700
2013-09-02,30.309999,30.879999,28.850000,30.000000,26.421848,2995900
2013-09-09,30.020000,31.430000,28.379999,31.430000,27.681288,3286900
2013-09-16,31.549999,31.910000,30.719999,31.730000,27.945505,1429000
2013-09-23,31.650000,32.000000,30.090000,30.209999,26.778402,2240700
2013-09-30,30.000000,30.680000,28.730000,29.299999,25.971767,1842500
2013-10-07,29.070000,29.340000,27.480000,28.620001,25.369013,1577800
2013-10-14,28.620001,30.209999,27.920000,29.980000,26.574526,1605700
2013-10-21,29.959999,30.150000,28.680000,29.990000,26.583389,1066500
2013-10-28,29.940001,30.620001,29.400000,29.730000,26.352924,1188100
2013-11-04,29.750000,31.070000,28.990000,30.670000,27.186152,1276100
2013-11-11,30.600000,34.000000,30.370001,31.500000,27.921871,5923000
2013-11-18,31.450001,32.400002,29.730000,30.520000,27.053186,1941800
2013-11-25,30.650000,30.719999,29.309999,29.820000,26.432703,1350000
2013-12-02,29.730000,30.350000,29.389999,29.660000,26.290880,2112500
2013-12-09,29.480000,30.240000,28.760000,29.309999,25.980633,14104700
2013-12-16,29.360001,29.940001,28.969999,29.340000,26.007225,4174200
2013-12-23,29.330000,29.490000,28.250000,28.629999,25.552116,6764900
2013-12-30,28.690001,29.340000,28.000000,28.900000,25.793085,6161800
2014-01-06,28.860001,29.590000,27.490000,29.450001,26.283958,9274900
2014-01-13,29.430000,33.639999,29.430000,33.250000,29.675436,11106800
2014-01-20,33.230000,33.520000,32.430000,33.180000,29.612963,2508100
2014-01-27,33.250000,33.750000,31.240000,32.419998,28.934664,3892500
2014-02-03,32.270000,32.630001,30.600000,32.599998,29.095314,2801000
2014-02-10,32.470001,33.720001,32.250000,33.250000,29.675436,2054500
2014-02-17,33.250000,33.950001,33.090000,33.500000,29.898563,1623800
2014-02-24,33.480000,35.299999,33.459999,34.139999,30.469751,2028400
2014-03-03,33.750000,35.220001,32.520000,33.119999,29.559414,5066300
2014-03-10,33.080002,34.610001,30.500000,32.560001,29.059618,6945000
2014-03-17,32.580002,33.330002,30.799999,33.169998,29.604040,4418300
2014-03-24,32.349998,32.470001,30.070000,30.139999,27.070681,5801800
2014-03-31,30.330000,30.900000,29.420000,29.969999,26.917995,16831900
