Date,Open,High,Low,Close,Adj Close,Volume
2002-06-01,27.450001,28.725000,26.475000,28.000000,14.804981,200331200
2002-07-01,28.125000,28.750000,21.799999,24.969999,13.251947,355021000
2002-08-01,24.924999,26.700001,23.775000,25.500000,13.533225,193239800
2002-09-01,25.200001,25.795000,23.205000,23.980000,12.726542,181020800
2002-10-01,24.200001,26.549999,22.285000,23.240000,12.382392,317116400
2002-11-01,23.240000,23.580000,22.105000,22.820000,12.158619,225505600
2002-12-01,23.090000,23.455000,21.450001,21.920000,11.731104,227408200
2003-01-01,22.075001,23.004999,19.575001,20.230000,10.826655,249229000
2003-02-01,20.275000,20.760000,19.424999,20.110001,10.762431,205692200
2003-03-01,20.080000,21.150000,18.504999,20.240000,10.832004,268825800
2003-04-01,20.250000,21.424999,19.500000,20.200001,10.874125,238453600
2003-05-01,20.200001,22.975000,19.719999,22.785000,12.265685,240325000
2003-06-01,22.969999,24.170000,22.670000,23.205000,12.491780,198079000
2003-07-01,23.125000,23.320000,21.139999,22.485001,12.161611,286536800
2003-08-01,22.250000,22.620001,21.600000,21.760000,11.769471,154832800
2003-09-01,21.715000,22.625000,21.264999,21.480000,11.618026,225735200
2003-10-01,21.500000,23.200001,21.500000,23.200001,12.610051,217157200
2003-11-01,23.200001,23.584999,23.059999,23.250000,12.637230,132970000
2003-12-01,23.325001,25.450001,23.195000,25.375000,13.857702,223663000
2004-01-01,25.400000,25.495001,24.325001,24.620001,13.445385,188973000
2004-02-01,24.500000,26.389999,24.309999,24.980000,13.641990,194736000
2004-03-01,24.865000,25.299999,23.790001,25.150000,13.734830,283149600
2004-04-01,25.240000,26.750000,24.889999,25.285000,13.878091,235590000
2004-05-01,25.325001,25.790001,24.584999,25.674999,14.092145,189261400
2004-06-01,25.600000,26.375000,25.049999,25.240000,13.853389,172463800
2004-07-01,25.254999,25.695000,21.400000,21.930000,12.095206,285865800
2004-08-01,21.895000,22.445000,21.530001,22.355000,12.329611,222663800
2004-09-01,22.400000,22.940001,19.615000,20.025000,11.044524,401326200
2004-10-01,20.240000,20.570000,19.150000,20.330000,11.278380,284754200
2004-11-01,20.350000,20.870001,19.605000,19.655001,10.903916,310454000
2004-12-01,19.725000,20.955000,19.650000,20.820000,11.623121,302644200
2005-01-01,20.950001,21.000000,20.275000,20.745001,11.581247,236828200
2005-02-01,20.750000,22.075001,20.565001,21.400000,11.946911,240506400
2005-03-01,21.400000,21.924999,20.455000,20.834999,11.631494,269174000
2005-04-01,20.915001,21.750000,20.370001,21.719999,12.204902,277122600
2005-05-01,21.745001,22.629999,21.620001,22.315001,12.539243,204585200
2005-06-01,22.270000,22.465000,20.834999,20.875000,11.730077,221360800
2005-07-01,20.980000,22.305000,20.695000,21.879999,12.373638,241584800
2005-08-01,21.995001,22.375000,21.555000,22.000000,12.441504,237502600
2005-09-01,21.905001,22.355000,20.924999,21.594999,12.212461,282412800
2005-10-01,21.605000,21.799999,20.639999,21.389999,12.173561,270077400
2005-11-01,21.309999,21.639999,20.934999,21.344999,12.147959,234491000
2005-12-01,21.350000,21.514999,20.155001,20.155001,11.546266,272298200
2006-01-01,20.395000,20.995001,19.680000,20.690001,11.852759,283895000
2006-02-01,20.594999,21.290001,20.260000,20.985001,12.021753,268586600
2006-03-01,20.950001,21.495001,20.785000,20.934999,11.993110,288100400
2006-04-01,21.049999,21.120001,20.430000,20.980000,12.106633,219255800
2006-05-01,21.045000,22.379999,20.900000,22.014999,12.703894,352760800
2006-06-01,21.990000,22.065001,21.135000,21.510000,12.412473,291337400
2006-07-01,21.600000,22.395000,21.184999,22.250000,12.932061,251795800
2006-08-01,22.250000,22.700001,21.740000,22.405001,13.022148,208447600
2006-09-01,22.490000,22.565001,21.969999,22.340000,12.984367,203829800
2006-10-01,22.450001,23.750000,21.860001,23.360001,13.671860,386309000
